what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1302390298400
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1302390298421
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1302390298449
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1302390298465
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1302390298482
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1302390298506
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1302390298507
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1302390298534
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1302390298566
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1302390298580
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1302390298759
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1302390298790
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1302390298813
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1302390298843
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1302390298872
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1302390298872
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1302390298908
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1302390298928
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1302390298953
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1302390299004
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1302390299019
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1302390299070
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1302390299097
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1302390299117
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1302390299143
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1302390299172
os,sysinfo,,,"win32",1302390299185
arch,sysinfo,,,"x86",1302390299185
ws,sysinfo,,,"win32",1302390299185
locale,sysinfo,,,"en_US",1302390299185
processors,sysinfo,,,"4",1302390299186
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302390299186
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1302390299186
java.specification.name,sysinfo,,,"Java Platform API Specification",1302390299186
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302390299186
java.specification.version,sysinfo,,,"1.6",1302390299186
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302390299186
java.version,sysinfo,,,"1.6.0_24",1302390299186
java.vm.info,sysinfo,,,"mixed mode",1302390299186
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302390299186
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302390299186
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302390299186
java.vm.specification.version,sysinfo,,,"1.0",1302390299186
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302390299186
java.vm.version,sysinfo,,,"19.1-b02",1302390299186
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1302390299574
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1302390299819
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1302390300435
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1302390300454
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1302390300466
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1302390300525
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302390301840
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302390301977
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1302390302103
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1302390303800
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1302390303806
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1302390303988
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1302390304065
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1302390304473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390321469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390363781
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1302390368799
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1302390368983
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1302390369178
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1302390369337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390566385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390708874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302390773087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390777092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390936186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302390959257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390961350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302390978466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302391046253
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302391047421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302391162663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302391221916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302391223039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302393363719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302393370041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302397344703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302397351461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302397352877
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302397353836
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1302397355670
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1302397356851
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1302397356910
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1302397356968
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1302397357003
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1302397357050
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1302397357077
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1302397357095
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1302397357118
